University,Continent,Country,Lat,Long
Istanbul Technical University,Asia,Turkey,41.11,29.02
Istanbul University,Asia,Turkey,41.01,28.96
Jadavpur University,Asia,India,22.5,88.37
Jagiellonian University,Europe,Poland,50.06,19.93
James Cook University,Australia,Australia,-19.33,146.76
Jilin University,Asia,China,43.87,125.35
Johannes Gutenberg University of Mainz,Europe,Germany,49.99,8.24
Johannes Kepler University of Linz,Europe,Austria,48.34,14.32
Johns Hopkins University,North America,United States of America,39.33,-76.62
Jordan University of Science and Technology,Asia,Jordan,32.5,35.99
Joseph Fourier University,Europe,France,45.1,5.46
Juntendo University,Asia,Japan,35.7,139.76
Justus Liebig University Giessen,Europe,Germany,50.58,8.67
K.N. Toosi University of Technology,Asia,Iran,35.76,51.41
Kanazawa University,Asia,Japan,36.55,136.71
Kansas State University,North America,United States of America,39.19,-96.58
Kaohsiung Medical University,Asia,Taiwan,22.65,120.31
Karlsruhe Institute of Technology,Europe,Germany,49.01,8.41
Karolinska Institute,Europe,Sweden,59.35,18.02
Kazan Federal University,North America,Russian Federation,55.79,49.12
Keele University,Europe,United Kingdom,53,-2.27
Keio University,Asia,Japan,35.65,139.74
Kent State University,North America,United States of America,41.15,-81.34
Khon Kaen University,Asia,Thailand,16.48,102.81
King Abdulaziz University,Asia,Saudi Arabia,21.49,39.25
King Fahd University of Petroleum and Minerals,Asia,Saudi Arabia,26.3,50.14
King Mongkuts University of Technology Thonburi,Asia,Thailand,13.65,100.49
King Saud University,Asia,Saudi Arabia,24.72,46.62
Kings College London,Europe,United Kingdom,51.51,-0.12
Kingston University,Europe,United Kingdom,51.4,-0.3
Kinki University,Asia,Japan,34.65,135.59
Kobe University,Asia,Japan,34.73,135.24
Koc University,Asia,Turkey,41.21,29.07
Konkuk University,Asia,South Korea,37.54,127.08
Korea Advanced Institute of Science and Technology (KAIST),Asia,South Korea,36.37,127.36
Korea University,Asia,South Korea,37.59,127.03
KTH Royal Institute of Technology,Europe,Sweden,59.35,18.07
KU Leuven,Europe,Belgium,50.88,4.7
Kumamoto University,Asia,Japan,32.81,130.73
Kyoto University,Asia,Japan,35.03,135.78
Kyung Hee University,Asia,South Korea,37.6,127.05
Kyungpook National University,Asia,South Korea,35.89,128.61
Kyushu Institute of Technology,Asia,Japan,33.89,130.84
Kyushu University,Asia,Japan,33.63,130.43
La Trobe University,Australia,Australia,37.72,145.05
Lancaster University,Europe,United Kingdom,54.01,-2.79
Lappeenranta University of Technology,Europe,Finland,61.06,28.09
Laval University,North America,Canada,46.78,-71.28
Lehigh University,North America,United States of America,40.61,-75.38
Leibniz University of Hanover,Europe,Germany,52.38,9.72
Leiden University,Europe,Netherlands,52.16,4.48
Lille 1 University Science and Technology,Europe,France,50.61,3.14
Lille 2 University Health and Law,Europe,France,50.61,3.08
Linkoping University,Europe,Sweden,58.4,15.57
Liverpool John Moores University,Europe,United Kingdom,53.4,-2.97
LMU Munich,Europe,Germany,48.15,11.58
Lomonosov Moscow State University,North America,Russian Federation,55.7,37.53
London School of Economics and Political Science,Europe,United Kingdom,51.51,-0.12
Loughborough University,Europe,United Kingdom,52.77,-1.22
Louisiana State University,North America,United States of America,30.41,-91.18
Lund University,Europe,Sweden,55.71,13.2
Maastricht University,Europe,Netherlands,50.85,5.69
Macquarie University,Australia,Australia,-33.77,151.11
Mahidol University,Asia,Thailand,13.79,100.32
Makerere University,Africa,Uganda,0.33,32.57
Manchester Metropolitan University,Europe,United Kingdom,53.47,-2.24
Marche Polytechnic University,Europe,Italy,43.62,13.51
Masaryk University,Europe,Czech Republic,49.2,16.6
Massachusetts Institute of Technology,North America,United States of America,42.36,-71.09
Massey University,Australia,New Zealand,-40.39,175.62
McGill University,North America,Canada,45.5,-73.58
McMaster University,North America,Canada,43.26,-79.92
Medical College of Wisconsin,North America,United States of America,43.04,-88.02
Medical University of South Carolina,North America,United States of America,32.79,-79.95
Medical University of Vienna,Europe,Austria,48.22,16.35
Memorial University of Newfoundland,North America,Canada,47.57,-52.74
Miami University,North America,United States of America,39.38,-84.56
Michigan State University,North America,United States of America,42.72,-84.47
Michigan Technological University,North America,United States of America,47.12,-88.55
Middle East Technical University,Asia,Turkey,39.89,32.78
Middlesex University,Europe,United Kingdom,51.59,-0.23
Mines ParisTech,Europe,France,48.85,2.34
Missouri University of Science and Technology,North America,United States of America,37.96,-91.78
Monash University,Australia,Australia,-37.91,145.13
Montana State University,North America,United States of America,45.67,-111.05
Monterrey Institute of Technology and Higher Education,North America,Mexico,31.13,-111.09
Montpellier University,Europe,France,43.63,3.83
Moscow Institute of Physics and Technology,North America,Russian Federation,55.93,37.52
Murdoch University,Australia,Australia,-32.07,115.83
Nagasaki University,Asia,Japan,32.79,129.86
Nagoya University,Asia,Japan,35.15,136.9
Nanjing University,Asia,China,32.06,118.78
Nanyang Technological University,Asia,Singapore,1.35,103.68
National and Kapodistrian University of Athens,Europe,Greece,37.97,23.78
National Autonomous University of Mexico,North America,Mexico,19.32,-99.2
National Central University,Asia,Taiwan,24.97,121.19
National Cheng Kung University,Asia,Taiwan,23,120.22
National Chengchi University,Asia,Taiwan,24.99,121.57
National Chiao Tung University,Asia,Taiwan,24.79,120.99
National Chung Cheng University,Asia,Taiwan,23.56,120.47
National Chung Hsing University,Asia,Taiwan,24.12,120.67
National Institute of Applied Sciences of Lyon (INSA Lyon),Europe,France,45.78,4.88
National Research Nuclear University MePhI,North America,Russian Federation,55.65,37.66
National Sun Yat-Sen University,Asia,Taiwan,22.63,120.26
National Taipei University of Technology,Asia,Taiwan,24.99,121.46
National Taiwan Normal University,Asia,Taiwan,25.03,121.53
National Taiwan Ocean University,Asia,Taiwan,25.15,121.77
National Taiwan University,Asia,Taiwan,25.02,121.54
National Taiwan University of Science and Technology (Taiwan Tech),Asia,Taiwan,25.01,121.54
National Technical University of Athens,Europe,Greece,37.98,23.78
National Tsing Hua University,Asia,Taiwan,24.79,120.99
National University of Cordoba,South America,Argentina,-31.44,-64.19
"National University of Ireland, Galway",Europe,United Kingdom,53.28,9.06
"National University of Ireland, Maynooth",Europe,United Kingdom,53.38,6.6
National University of Science and Technology (MISiS),North America,Russian Federation,55.73,37.61
National University of Sciences and Technology,Asia,Pakistan,33.64,72.99
National University of Singapore,Asia,Singapore,1.3,103.77
National Yang-Ming University,Asia,Taiwan,25.12,121.51
New Jersey Institute of Technology,North America,United States of America,40.74,-74.18
New Mexico State University,North America,United States of America,32.28,-106.75
New University of Lisbon,Europe,Portugal,38.73,-9.16
New York University,North America,United States of America,40.73,-74
Newcastle University,Europe,United Kingdom,54.98,-1.62
Niigata University,Asia,Japan,37.87,138.94
North Carolina State University,North America,United States of America,35.79,-78.67
Northeastern University,North America,United States of America,42.34,-71.09
Northumbria University,Europe,United Kingdom,54.98,-1.61
Northwestern Polytechnical University,Asia,China,34.24,108.91
Northwestern University,North America,United States of America,42.06,-87.67
Norwegian University of Science and Technology,Europe,Norway,63.42,10.4
Nottingham Trent University,Europe,United Kingdom,52.96,-1.15
Novosibirsk State University,North America,Russian Federation,54.85,83.09
Oakland University,North America,United States of America,42.67,-83.22
Ocean University of China,Asia,China,36.06,120.34
Ohio State University,North America,United States of America,40,-83.01
Ohio University,North America,United States of America,39.33,-82.1
Okayama University,Asia,Japan,34.69,133.92
Oklahoma State University,North America,United States of America,36.12,-97.07
Old Dominion University,North America,United States of America,36.88,-76.31
Orebro University,Europe,Sweden,59.25,15.25
Oregon Health and Science University,North America,United States of America,45.5,-122.69
Oregon State University,North America,United States of America,44.56,-123.27
Osaka City University,Asia,Japan,34.59,135.51
Osaka Prefecture University,Asia,Japan,34.55,135.51
Osaka University,Asia,Japan,34.82,135.52
Otto von Guericke University of Magdeburg,Europe,Germany,52.14,11.65
Oxford Brookes University,Europe,United Kingdom,51.74,-1.3
Palacky University in Olomouc,Europe,Czech Republic,49.6,17.26
Panjab University,Asia,India,30.76,76.77
Pantheon-Sorbonne University Paris 1,Europe,France,48.85,2.34
Paris Dauphine University,Europe,France,48.87,2.27
Paris Descartes University,Europe,France,48.85,2.34
Paris Diderot University Paris 7,Europe,France,48.83,2.38
Paris-Sorbonne University Paris 4,Europe,France,48.85,2.34
Paris-Sud University,Europe,France,48.7,2.18
Peking University,Asia,China,39.99,116.31
Pennsylvania State University,North America,United States of America,40.8,-77.86
Peter the Great St Petersburg Polytechnic University,North America,Russian Federation,60.01,30.37
Pierre and Marie Curie University,Europe,France,48.85,2.36
Plymouth University,Europe,United Kingdom,50.37,-4.14
Pohang University of Science and Technology,Asia,South Korea,36.01,129.32
Polytechnic University of Catalonia,Europe,Spain,41.39,2.11
Polytechnic University of Milan,Europe,Italy,45.48,9.23
Polytechnic University of Turin,Europe,Italy,45.06,7.66
Polytechnic University of Valencia,Europe,Spain,39.48,-0.35
Pompeu Fabra University,Europe,Spain,41.38,2.18
Pontifical Catholic University of Chile,South America,Chile,-33.44,-70.64
Pontifical Catholic University of Parana,South America,Brazil,-24.37,-51.51
Pontifical Catholic University of Rio de Janeiro (PUC-Rio),South America,Brazil,-22.98,-43.23
Pontifical Catholic University of Rio Grande do Sul (PUCRS),South America,Brazil,-30.06,-51.18
Pontifical Catholic University of Valparaiso,South America,Chile,-33.04,-71.61
Portland State University,North America,United States of America,45.51,-122.68
Prince of Songkla University,Asia,Thailand,7.01,100.5
Princeton University,North America,United States of America,40.35,-74.66
Purdue University,North America,United States of America,40.43,-86.91
Pusan National University,Asia,South Korea,35.23,129.08
Qatar University,Asia,Qatar,25.38,51.48
Quaid-i-azam University,Asia,Pakistan,33.75,73.14
Queen Mary University of London,Europe,United Kingdom,51.52,-0.04
Queens University,North America,Canada,44.23,-76.5
Queens University Belfast,Europe,United Kingdom,54.58,-5.94
Queensland University of Technology,Australia,Australia,-27.48,153.03
Radboud University Nijmegen,Europe,Netherlands,51.82,5.85
Renmin University of China,Asia,China,39.97,116.32
Rensselaer Polytechnic Institute,North America,United States of America,42.73,-73.68
Rice University,North America,United States of America,29.72,-95.4
Rio de Janeiro State University (UERJ),South America,Brazil,-22.91,-43.24
RMIT University,Australia,Australia,-37.81,144.96
Rochester Institute of Technology,North America,United States of America,43.09,-77.68
Royal College of Surgeons in Ireland,North America,Republic of Ireland,53.34,-6.26
"Royal Holloway, University of London",Europe,United Kingdom,51.43,0.56
Royal Veterinary College,Europe,United Kingdom,51.54,-0.13
Ruhr University Bochum,Europe,Germany,51.45,7.26
Rush University,North America,United States of America,41.87,-87.67
"Rutgers, the State University of New Jersey",North America,United States of America,40.5,74.45
RWTH Aachen University,Europe,Germany,50.78,6.06
Sabanci University,Asia,Turkey,40.96,29.18
Saint Louis University,North America,United States of America,38.63,-90.23
Saint Petersburg State University,North America,Russian Federation,59.94,30.3
Saitama University,Asia,Japan,35.87,139.61
San Diego State University,North America,United States of America,32.78,-117.07
Sao Paulo State University (UNESP),South America,Brazil,-22.65,-52.68
Sapienza University of Rome,Europe,Italy,41.9,12.51
Savitribai Phule Pune University,Asia,India,18.55,73.82
Scuola Normale Superiore di Pisa,Europe,Italy,43.72,10.4
Scuola Superiore Santa Anna,Europe,Italy,43.72,10.4
Sejong University,Asia,South Korea,37.55,127.08
Semmelweis University,Europe,Hungary,47.49,19.07
Seoul National University,Asia,South Korea,37.46,126.95
Shahid Beheshti University,Asia,Iran,35.8,51.4
Shanghai Jiao Tong University,Asia,China,31.03,121.43
Shanghai University,Asia,China,31.31,121.39
Shantou University,Asia,China,31.31,121.39
Sharif University of Technology,Asia,Iran,35.7,51.35
Sheffield Hallam University,Europe,United Kingdom,53.38,-1.47
Shinshu University,Asia,Japan,36.25,137.98
Showa University,Asia,Japan,35.52,139.37
Sichuan University,Asia,China,30.82,104.19
Simon Fraser University,North America,Canada,49.28,-122.92
Slovak University of Technology in Bratislava,Europe,Slovakia,48.15,17.12
Sogang University,Asia,South Korea,37.55,126.94
Soochow University,Asia,China,31.31,120.64
Sophia University,Asia,Japan,35.68,139.73
South China University of Technology,Asia,China,23.15,113.34
Southern Cross University,Australia,Australia,-28.82,153.3
Southern Federal University,North America,Russian Federation,47.22,39.73
Southern Methodist University,North America,United States of America,32.85,-96.78
"St Georges, University of London",Europe,United Kingdom,51.42,0.18
Stanford University,North America,United States of America,37.43,-122.18
State University of Campinas,South America,Brazil,-22.82,-47.07
State University of New York Albany,North America,United States of America,42.69,-73.83
Stellenbosch University,Africa,South Africa,-33.93,18.86
Stockholm University,Europe,Sweden,59.36,18.06
Stony Brook University,North America,United States of America,40.91,-73.12
Suez Canal University,Africa,Egypt,30.62,32.27
Sultan Qaboos University,Asia,Oman,23.59,58.17
Sun Yat-sen University,Asia,China,23.1,113.3
Sungkyunkwan University (SKKU),Asia,South Korea,37.59,126.99
Suranaree University of Technology,Asia,Thailand,14.88,102.02
Swansea University,Europe,United Kingdom,51.61,-3.98
Swedish University of Agricultural Sciences,Europe,Sweden,59.81,17.66
Swinburne University of Technology,Australia,Australia,-37.82,145.04
Syracuse University,North America,United States of America,43.04,-76.14
Taipei Medical University,Asia,Taiwan,25.03,121.56
Tallinn University of Technology,Europe,Estonia,59.4,24.67
Tampere University of Technology,Europe,Finland,61.45,23.86
Taras Shevchenko National University of Kyiv,Europe,Ukraine,50.44,30.51
Technical University of Berlin,Europe,Germany,52.51,13.32
Technical University of Darmstadt,Europe,Germany,49.87,8.65
Technical University of Denmark,Europe,Denmark,55.79,12.52
Technical University of Dortmund,Europe,Germany,51.49,7.42
Technical University of Madrid,Europe,Spain,40.45,-3.72
Technical University of Munich,Europe,Germany,48.15,11.57
Technical University of Ostrava,Europe,Czech Republic,49.83,18.16
Technion Israel Institute of Technology,Asia,Israel,32.78,35.02
Tehran University of Medical Sciences,Asia,Iran,35.71,51.39
Tel Aviv University,Asia,Israel,32.11,34.8
Temple University,North America,United States of America,39.98,-75.16
Texas A&M University,North America,United States of America,30.61,-96.34
Texas Tech University,North America,United States of America,33.58,-101.88
The Open University,Europe,United Kingdom,52.03,-0.71
The University of Queensland,Australia,Australia,-27.5,153.01
Tianjin University,Asia,China,39.11,117.17
Tilburg University,Europe,Netherlands,51.56,5.04
Tohoku University,Asia,Japan,38.25,140.87
Tokai University,Asia,Japan,35.66,139.68
Tokushima University,Asia,Japan,34.07,134.56
Tokyo Institute of Technology,Asia,Japan,35.61,139.68
Tokyo Medical and Dental University (TMDU),Asia,Japan,35.7,139.76
Tokyo Metropolitan University,Asia,Japan,35.62,139.38
Tokyo University of Agriculture and Technology,Asia,Japan,35.68,139.48
Tokyo University of Marine Science and Technology,Asia,Japan,35.63,139.75
Tokyo University of Science,Asia,Japan,35.7,139.74
Tomsk Polytechnic University,North America,Russian Federation,56.46,84.95
Tomsk State University,North America,Russian Federation,56.47,84.95
Tongji University,Asia,China,31.28,121.5
Tottori University,Asia,Japan,35.52,134.17
Toulouse 1 Capitole University,Europe,France,43.61,1.44
Toyohashi University of Technology,Asia,Japan,34.7,137.41
Trinity College Dublin,North America,Republic of Ireland,53.34,-6.26
Tsinghua University,Asia,China,40,116.33
TU Dresden,Europe,Germany,51.03,13.73
Tufts University,North America,United States of America,42.41,-71.12
Tulane University,North America,United States of America,29.94,-90.12
UiT The Arctic University of Norway,Europe,Norway,69.68,18.97
Ulm University,Europe,Germany,48.42,9.95
Ulster University,Europe,United Kingdom,55.15,-6.68
Umea University,Europe,Sweden,55.15,-6.68
United Arab Emirates University,Asia,United Arab Emirates,24.2,55.67
Universite Catholique de Louvain,Europe,Belgium,50.67,4.62
Universite de Sherbrooke,North America,Canada,45.38,-71.93
Universite du Quebec a Montreal,North America,Canada,45.51,-73.56
Universite Libre de Bruxelles,Europe,Belgium,50.81,4.38
Universiti Kebangsaan Malaysia,Asia,Malaysia,2.93,101.78
Universiti Putra Malaysia,Asia,Malaysia,2.99,101.71
Universiti Sains Malaysia,Asia,Malaysia,5.36,100.3
Universiti Teknologi Malaysia,Asia,Malaysia,1.56,103.64
Universiti Teknologi MARA,Asia,Malaysia,3.07,101.5
University at Buffalo,North America,United States of America,43,-78.79
University College Cork,North America,Republic of Ireland,51.89,-8.5
University College Dublin,North America,Republic of Ireland,53.31,-6.22
University College London,Europe,United Kingdom,51.52,-0.14
University of A Coruna,Europe,Spain,43.33,-8.41
University of Aberdeen,Europe,United Kingdom,57.16,-2.1
University of Adelaide,Australia,Australia,-34.92,138.6
University of Alaska Fairbanks,North America,United States of America,64.86,-147.82
University of Alberta,North America,Canada,53.52,-113.53
University of Alcala,Europe,Spain,40.48,-3.36
University of Amsterdam,Europe,Netherlands,52.36,4.95
University of Antioquia,South America,Colombia,6.27,-75.57
University of Antwerp,Europe,Belgium,51.22,4.41
University of Arizona,North America,United States of America,32.23,-110.95
University of Arkansas,North America,United States of America,36.06,-94.18
University of Auckland,Australia,New Zealand,-36.85,174.77
University of Aveiro,Europe,Portugal,40.63,-8.66
University of Barcelona,Europe,Spain,41.39,2.16
University of Bari Aldo Moro,Europe,Italy,41.12,16.87
University of Basel,Europe,Switzerland,47.56,7.58
University of Bath,Europe,United Kingdom,51.38,-2.33
University of Belgrade,Europe,Serbia,44.82,20.46
University of Bergen,Europe,Norway,60.39,5.32
University of Bern,Europe,Switzerland,46.95,7.43
University of Birmingham,Europe,United Kingdom,52.45,-1.93
University of Bologna,Europe,Italy,44.5,11.35
University of Bonn,Europe,Germany,50.73,7.09
University of Bordeaux,Europe,France,44.83,-0.57
University of Bradford,Europe,United Kingdom,53.79,-1.77
University of Brasilia,South America,Brazil,-15.76,-47.87
University of Bremen,Europe,Germany,53.11,8.85
University of Brescia,Europe,Italy,45.54,10.2
University of Brighton,Europe,United Kingdom,50.77,0.28
University of Bristol,Europe,United Kingdom,51.46,-2.61
University of British Columbia,North America,Canada,49.26,-123.25
University of Bucharest,Europe,Romania,44.44,26.1
University of Burgundy,Europe,France,47.31,5.07
